,sales,number_of_customers,visitors,opening_hour,closing_hour
2017-01-07 15:00:00,5348.0,6.0,0.0,10.0,16.0
2017-01-09 10:00:00,1112.0,1.0,0.0,10.0,18.0
2017-01-09 11:00:00,2852.0,2.0,0.0,10.0,18.0
2017-01-09 12:00:00,2789.0,3.0,0.0,10.0,18.0
2017-01-09 13:00:00,2293.0,2.0,0.0,10.0,18.0
2017-01-09 14:00:00,2468.0,7.0,0.0,10.0,18.0
2017-01-10 11:00:00,4148.0,4.0,0.0,10.0,18.0
2017-01-10 12:00:00,1551.0,2.0,0.0,10.0,18.0
2017-01-10 13:00:00,7441.0,3.0,0.0,10.0,18.0
2017-01-10 14:00:00,2164.0,3.0,0.0,10.0,18.0
2017-01-10 16:00:00,2179.0,1.0,0.0,10.0,18.0
2017-01-10 17:00:00,928.0,1.0,0.0,10.0,18.0
2017-01-11 12:00:00,1980.0,1.0,0.0,10.0,18.0
2017-01-11 16:00:00,93.0,1.0,0.0,10.0,18.0
2017-01-11 17:00:00,248.0,2.0,0.0,10.0,18.0
2017-01-12 10:00:00,1961.0,2.0,0.0,10.0,18.0
2017-01-12 11:00:00,527.0,1.0,0.0,10.0,18.0
2017-01-12 12:00:00,2167.0,4.0,0.0,10.0,18.0
2017-01-12 13:00:00,316.0,1.0,0.0,10.0,18.0
2017-01-12 14:00:00,1902.0,3.0,0.0,10.0,18.0
2017-01-12 15:00:00,3830.0,7.0,0.0,10.0,18.0
2017-01-12 17:00:00,2734.0,6.0,0.0,10.0,18.0
2017-01-13 10:00:00,1664.0,2.0,0.0,10.0,18.0
2017-01-13 11:00:00,3024.0,4.0,0.0,10.0,18.0
2017-01-13 12:00:00,3077.0,5.0,0.0,10.0,18.0
2017-01-13 13:00:00,1648.0,6.0,0.0,10.0,18.0
2017-01-13 14:00:00,3183.0,4.0,0.0,10.0,18.0
2017-01-13 15:00:00,822.0,2.0,0.0,10.0,18.0
2017-01-13 16:00:00,1537.0,5.0,0.0,10.0,18.0
2017-01-13 17:00:00,2265.0,2.0,0.0,10.0,18.0
2017-01-14 10:00:00,938.0,2.0,0.0,10.0,16.0
2017-01-14 11:00:00,3625.0,8.0,0.0,10.0,16.0
2017-01-14 12:00:00,4476.0,6.0,0.0,10.0,16.0
2017-01-14 13:00:00,3274.0,3.0,0.0,10.0,16.0
2017-01-14 14:00:00,2546.0,11.0,0.0,10.0,16.0
2017-01-14 15:00:00,918.0,2.0,0.0,10.0,16.0
2017-01-16 09:00:00,1163.0,1.0,0.0,10.0,18.0
2017-01-16 12:00:00,3970.0,7.0,0.0,10.0,18.0
2017-01-16 13:00:00,2539.0,8.0,0.0,10.0,18.0
2017-01-16 14:00:00,3261.0,2.0,0.0,10.0,18.0
2017-01-16 15:00:00,5082.0,4.0,0.0,10.0,18.0
2017-01-16 17:00:00,1575.0,3.0,0.0,10.0,18.0
2017-01-17 10:00:00,2380.0,2.0,0.0,10.0,18.0
2017-01-17 11:00:00,3459.0,4.0,0.0,10.0,18.0
2017-01-17 12:00:00,1501.0,3.0,0.0,10.0,18.0
2017-01-17 13:00:00,1638.0,1.0,0.0,10.0,18.0
2017-01-17 15:00:00,1954.0,5.0,0.0,10.0,18.0
2017-01-17 18:00:00,549.0,1.0,0.0,10.0,18.0
2017-01-18 10:00:00,971.0,1.0,0.0,10.0,18.0
2017-01-18 11:00:00,723.0,1.0,0.0,10.0,18.0
2017-01-18 14:00:00,670.0,2.0,0.0,10.0,18.0
2017-01-18 15:00:00,1518.0,2.0,0.0,10.0,18.0
2017-01-18 16:00:00,912.0,2.0,0.0,10.0,18.0
2017-01-18 17:00:00,2237.0,6.0,0.0,10.0,18.0
2017-01-19 10:00:00,726.0,1.0,0.0,10.0,18.0
2017-01-19 13:00:00,1479.0,1.0,0.0,10.0,18.0
2017-01-19 14:00:00,1319.0,1.0,0.0,10.0,18.0
2017-01-19 16:00:00,2181.0,3.0,0.0,10.0,18.0
2017-01-20 10:00:00,2915.0,4.0,0.0,10.0,18.0
2017-01-20 11:00:00,370.0,1.0,0.0,10.0,18.0
2017-01-20 12:00:00,2746.0,4.0,0.0,10.0,18.0
2017-01-20 13:00:00,911.0,1.0,0.0,10.0,18.0
2017-01-20 14:00:00,2845.0,6.0,0.0,10.0,18.0
2017-01-20 17:00:00,1556.0,2.0,0.0,10.0,18.0
2017-01-21 11:00:00,9609.0,7.0,0.0,10.0,16.0
2017-01-21 12:00:00,6066.0,9.0,0.0,10.0,16.0
2017-01-21 13:00:00,4978.0,3.0,0.0,10.0,16.0
2017-01-21 15:00:00,3285.0,7.0,0.0,10.0,16.0
2017-01-21 16:00:00,4741.0,1.0,0.0,10.0,16.0
2017-01-23 10:00:00,538.0,2.0,0.0,10.0,18.0
2017-01-23 11:00:00,5514.0,5.0,0.0,10.0,18.0
2017-01-23 13:00:00,997.0,4.0,0.0,10.0,18.0
2017-01-23 14:00:00,1593.0,1.0,0.0,10.0,18.0
2017-01-23 15:00:00,789.0,2.0,0.0,10.0,18.0
2017-01-23 16:00:00,2811.0,2.0,0.0,10.0,18.0
2017-01-23 17:00:00,868.0,2.0,0.0,10.0,18.0
2017-01-23 18:00:00,683.0,2.0,0.0,10.0,18.0
2017-01-24 10:00:00,745.0,1.0,0.0,10.0,18.0
2017-01-24 11:00:00,2835.0,4.0,0.0,10.0,18.0
2017-01-24 12:00:00,7408.0,5.0,0.0,10.0,18.0
2017-01-24 13:00:00,3547.0,4.0,0.0,10.0,18.0
2017-01-24 14:00:00,1393.0,1.0,0.0,10.0,18.0
2017-01-24 15:00:00,1984.0,2.0,0.0,10.0,18.0
2017-01-24 16:00:00,1143.0,2.0,0.0,10.0,18.0
2017-01-24 17:00:00,1098.0,2.0,0.0,10.0,18.0
2017-01-24 18:00:00,2697.0,2.0,0.0,10.0,18.0
2017-01-25 10:00:00,841.0,2.0,0.0,10.0,18.0
2017-01-25 11:00:00,832.0,4.0,0.0,10.0,18.0
2017-01-25 13:00:00,556.0,2.0,0.0,10.0,18.0
2017-01-25 14:00:00,4921.0,7.0,0.0,10.0,18.0
2017-01-25 16:00:00,4126.0,7.0,0.0,10.0,18.0
2017-01-25 18:00:00,2177.0,4.0,0.0,10.0,18.0
2017-01-26 11:00:00,2807.0,7.0,0.0,10.0,18.0
2017-01-26 12:00:00,966.0,2.0,0.0,10.0,18.0
2017-01-26 13:00:00,1964.0,3.0,0.0,10.0,18.0
2017-01-26 14:00:00,1030.0,1.0,0.0,10.0,18.0
2017-01-26 15:00:00,1774.0,3.0,0.0,10.0,18.0
2017-01-26 16:00:00,6303.0,6.0,0.0,10.0,18.0
2017-01-26 17:00:00,1112.0,2.0,0.0,10.0,18.0
2017-01-26 18:00:00,1020.0,2.0,0.0,10.0,18.0
2017-01-27 09:00:00,468.0,1.0,0.0,10.0,18.0
2017-01-27 11:00:00,7766.0,11.0,0.0,10.0,18.0
2017-01-27 12:00:00,7978.0,12.0,0.0,10.0,18.0
2017-01-27 13:00:00,5192.0,11.0,0.0,10.0,18.0
2017-01-27 14:00:00,12489.0,7.0,0.0,10.0,18.0
2017-01-27 15:00:00,5729.0,8.0,0.0,10.0,18.0
2017-01-27 16:00:00,6428.0,5.0,0.0,10.0,18.0
2017-01-27 17:00:00,9622.0,14.0,0.0,10.0,18.0
2017-01-27 18:00:00,2860.0,3.0,0.0,10.0,18.0
2017-01-28 10:00:00,12081.0,12.0,0.0,10.0,16.0
2017-01-28 11:00:00,16707.0,21.0,0.0,10.0,16.0
2017-01-28 12:00:00,14924.0,17.0,0.0,10.0,16.0
2017-01-28 13:00:00,22637.0,16.0,0.0,10.0,16.0
2017-01-28 14:00:00,6655.0,13.0,0.0,10.0,16.0
2017-01-28 15:00:00,15548.0,18.0,0.0,10.0,16.0
2017-01-30 15:00:00,718.0,2.0,0.0,10.0,18.0
2017-01-31 10:00:00,2326.0,3.0,0.0,10.0,18.0
2017-01-31 12:00:00,846.0,1.0,0.0,10.0,18.0
2017-01-31 13:00:00,2297.0,1.0,0.0,10.0,18.0
2017-01-31 15:00:00,1930.0,2.0,0.0,10.0,18.0
2017-02-01 13:00:00,358.0,2.0,0.0,10.0,18.0
2017-02-01 14:00:00,1337.0,2.0,0.0,10.0,18.0
2017-02-01 16:00:00,586.0,1.0,0.0,10.0,18.0
2017-02-01 17:00:00,1177.0,1.0,0.0,10.0,18.0
2017-02-02 11:00:00,3200.0,4.0,0.0,10.0,18.0
2017-02-02 12:00:00,1393.0,2.0,0.0,10.0,18.0
2017-02-02 14:00:00,1804.0,1.0,0.0,10.0,18.0
2017-02-02 16:00:00,1991.0,1.0,0.0,10.0,18.0
2017-02-03 13:00:00,5824.0,3.0,0.0,10.0,18.0
2017-02-03 14:00:00,1206.0,2.0,0.0,10.0,18.0
2017-02-03 15:00:00,1555.0,2.0,0.0,10.0,18.0
2017-02-03 16:00:00,902.0,2.0,0.0,10.0,18.0
2017-02-04 10:00:00,1045.0,2.0,0.0,10.0,16.0
2017-02-04 11:00:00,2267.0,2.0,0.0,10.0,16.0
2017-02-04 12:00:00,5686.0,5.0,0.0,10.0,16.0
2017-02-04 14:00:00,446.0,1.0,0.0,10.0,16.0
2017-02-04 15:00:00,452.0,1.0,0.0,10.0,16.0
2017-02-06 13:00:00,2715.0,1.0,0.0,10.0,18.0
2017-02-06 14:00:00,2241.0,1.0,0.0,10.0,18.0
2017-02-06 15:00:00,1270.0,2.0,0.0,10.0,18.0
2017-02-07 10:00:00,1221.0,1.0,0.0,10.0,18.0
2017-02-07 11:00:00,1385.0,2.0,0.0,10.0,18.0
2017-02-07 12:00:00,0.0,1.0,0.0,10.0,18.0
2017-02-08 10:00:00,3696.0,3.0,0.0,10.0,18.0
2017-02-08 11:00:00,2247.0,2.0,0.0,10.0,18.0
2017-02-08 14:00:00,1618.0,2.0,0.0,10.0,18.0
2017-02-10 10:00:00,298.0,2.0,0.0,10.0,18.0
2017-02-10 11:00:00,2869.0,3.0,0.0,10.0,18.0
2017-02-10 14:00:00,3000.0,3.0,0.0,10.0,18.0
2017-02-11 11:00:00,3846.0,6.0,0.0,10.0,16.0
2017-02-11 12:00:00,867.0,2.0,0.0,10.0,16.0
2017-02-13 10:00:00,224.0,1.0,0.0,10.0,18.0
2017-02-13 11:00:00,1743.0,5.0,0.0,10.0,18.0
2017-02-13 13:00:00,3799.0,6.0,0.0,10.0,18.0
2017-02-13 14:00:00,6729.0,9.0,0.0,10.0,18.0
2017-02-13 15:00:00,2226.0,6.0,0.0,10.0,18.0
2017-02-13 16:00:00,2117.0,3.0,0.0,10.0,18.0
2017-02-13 17:00:00,366.0,2.0,0.0,10.0,18.0
2017-02-14 10:00:00,3695.0,4.0,0.0,10.0,18.0
2017-02-14 11:00:00,336.0,1.0,0.0,10.0,18.0
2017-02-14 12:00:00,3567.0,8.0,0.0,10.0,18.0
2017-02-14 13:00:00,967.0,3.0,0.0,10.0,18.0
2017-02-14 14:00:00,4362.0,6.0,0.0,10.0,18.0
2017-02-14 15:00:00,3251.0,7.0,0.0,10.0,18.0
2017-02-14 16:00:00,1282.0,5.0,0.0,10.0,18.0
2017-02-14 17:00:00,7137.0,15.0,0.0,10.0,18.0
2017-02-14 18:00:00,1355.0,2.0,0.0,10.0,18.0
2017-02-15 10:00:00,479.0,2.0,0.0,10.0,18.0
2017-02-15 11:00:00,2085.0,4.0,0.0,10.0,18.0
2017-02-15 12:00:00,2206.0,12.0,0.0,10.0,18.0
2017-02-15 13:00:00,2440.0,3.0,0.0,10.0,18.0
2017-02-15 14:00:00,4234.0,5.0,0.0,10.0,18.0
2017-02-15 15:00:00,3005.0,6.0,0.0,10.0,18.0
2017-02-15 16:00:00,2811.0,8.0,0.0,10.0,18.0
2017-02-15 17:00:00,3329.0,12.0,0.0,10.0,18.0
2017-02-16 10:00:00,3440.0,8.0,0.0,10.0,18.0
2017-02-16 11:00:00,4776.0,12.0,0.0,10.0,18.0
2017-02-16 12:00:00,5277.0,21.0,0.0,10.0,18.0
2017-02-16 13:00:00,4051.0,14.0,0.0,10.0,18.0
2017-02-16 14:00:00,4187.0,5.0,0.0,10.0,18.0
2017-02-16 15:00:00,556.0,4.0,0.0,10.0,18.0
2017-02-16 16:00:00,5522.0,12.0,0.0,10.0,18.0
2017-02-16 17:00:00,4301.0,9.0,0.0,10.0,18.0
2017-02-17 10:00:00,3961.0,10.0,0.0,10.0,18.0
2017-02-17 11:00:00,5925.0,14.0,0.0,10.0,18.0
2017-02-17 12:00:00,4416.0,14.0,0.0,10.0,18.0
2017-02-17 13:00:00,5257.0,15.0,0.0,10.0,18.0
2017-02-17 14:00:00,2990.0,6.0,0.0,10.0,18.0
2017-02-17 15:00:00,2384.0,5.0,0.0,10.0,18.0
2017-02-17 16:00:00,6394.0,12.0,0.0,10.0,18.0
2017-02-17 17:00:00,10927.0,15.0,0.0,10.0,18.0
2017-02-18 10:00:00,2438.0,4.0,0.0,10.0,16.0
2017-02-18 11:00:00,8013.0,13.0,0.0,10.0,16.0
2017-02-18 12:00:00,16536.0,22.0,0.0,10.0,16.0
2017-02-18 13:00:00,5812.0,11.0,0.0,10.0,16.0
2017-02-18 14:00:00,6052.0,14.0,0.0,10.0,16.0
2017-02-18 15:00:00,7515.0,15.0,0.0,10.0,16.0
2017-02-20 12:00:00,2646.0,4.0,0.0,10.0,18.0
2017-02-20 13:00:00,2069.0,5.0,0.0,10.0,18.0
2017-02-20 14:00:00,1616.0,4.0,0.0,10.0,18.0
2017-02-20 15:00:00,1317.0,4.0,0.0,10.0,18.0
2017-02-20 16:00:00,478.0,1.0,0.0,10.0,18.0
2017-02-20 18:00:00,2194.0,2.0,0.0,10.0,18.0
2017-02-21 10:00:00,1632.0,3.0,0.0,10.0,18.0
2017-02-21 11:00:00,2240.0,6.0,0.0,10.0,18.0
2017-02-21 12:00:00,348.0,3.0,0.0,10.0,18.0
2017-02-21 13:00:00,1837.0,4.0,0.0,10.0,18.0
2017-02-21 14:00:00,2104.0,8.0,0.0,10.0,18.0
2017-02-21 15:00:00,1582.0,6.0,0.0,10.0,18.0
2017-02-21 16:00:00,876.0,6.0,0.0,10.0,18.0
2017-02-21 17:00:00,533.0,3.0,0.0,10.0,18.0
2017-02-22 11:00:00,3266.0,5.0,0.0,10.0,18.0
2017-02-22 12:00:00,3555.0,10.0,0.0,10.0,18.0
2017-02-22 13:00:00,5052.0,6.0,0.0,10.0,18.0
2017-02-22 14:00:00,827.0,1.0,0.0,10.0,18.0
2017-02-22 15:00:00,501.0,3.0,0.0,10.0,18.0
2017-02-22 16:00:00,1989.0,3.0,0.0,10.0,18.0
2017-02-22 17:00:00,1356.0,2.0,0.0,10.0,18.0
2017-02-23 12:00:00,3405.0,8.0,0.0,10.0,18.0
2017-02-23 13:00:00,3510.0,12.0,0.0,10.0,18.0
2017-02-23 14:00:00,1084.0,4.0,0.0,10.0,18.0
2017-02-23 15:00:00,233.0,2.0,0.0,10.0,18.0
2017-02-23 16:00:00,3794.0,9.0,0.0,10.0,18.0
2017-02-23 17:00:00,3084.0,2.0,0.0,10.0,18.0
2017-02-24 10:00:00,373.0,1.0,0.0,10.0,18.0
2017-02-24 11:00:00,2466.0,5.0,0.0,10.0,18.0
2017-02-24 12:00:00,2377.0,3.0,0.0,10.0,18.0
2017-02-24 13:00:00,12595.0,7.0,0.0,10.0,18.0
2017-02-24 14:00:00,1221.0,4.0,0.0,10.0,18.0
2017-02-24 15:00:00,240.0,1.0,0.0,10.0,18.0
2017-02-24 16:00:00,2150.0,6.0,0.0,10.0,18.0
2017-02-24 17:00:00,2524.0,4.0,0.0,10.0,18.0
2017-02-25 11:00:00,5610.0,16.0,0.0,10.0,16.0
2017-02-25 12:00:00,6640.0,18.0,0.0,10.0,16.0
2017-02-25 13:00:00,2154.0,5.0,0.0,10.0,16.0
2017-02-25 14:00:00,7539.0,11.0,0.0,10.0,16.0
2017-02-25 15:00:00,824.0,2.0,0.0,10.0,16.0
2017-02-25 16:00:00,826.0,2.0,0.0,10.0,16.0
2017-02-27 14:00:00,2143.0,2.0,0.0,10.0,18.0
2017-02-27 16:00:00,4564.0,5.0,0.0,10.0,18.0
2017-02-27 17:00:00,622.0,2.0,0.0,10.0,18.0
2017-02-28 10:00:00,1931.0,1.0,0.0,10.0,18.0
2017-02-28 11:00:00,2382.0,3.0,0.0,10.0,18.0
2017-02-28 12:00:00,4273.0,8.0,0.0,10.0,18.0
2017-02-28 15:00:00,3206.0,4.0,0.0,10.0,18.0
2017-02-28 16:00:00,5463.0,4.0,0.0,10.0,18.0
2017-03-01 10:00:00,2395.0,2.0,0.0,10.0,18.0
2017-03-01 14:00:00,3730.0,3.0,0.0,10.0,18.0
2017-03-01 15:00:00,0.0,2.0,0.0,10.0,18.0
2017-03-02 13:00:00,2394.0,3.0,0.0,10.0,18.0
2017-03-02 17:00:00,269.0,4.0,0.0,10.0,18.0
2017-03-03 13:00:00,1381.0,1.0,0.0,10.0,18.0
2017-03-03 14:00:00,8703.0,5.0,0.0,10.0,18.0
2017-03-04 10:00:00,4688.0,4.0,0.0,10.0,16.0
2017-03-04 11:00:00,1423.0,1.0,0.0,10.0,16.0
2017-03-04 12:00:00,141.0,1.0,0.0,10.0,16.0
2017-03-04 13:00:00,2675.0,2.0,0.0,10.0,16.0
2017-03-04 14:00:00,2755.0,2.0,0.0,10.0,16.0
2017-03-04 15:00:00,3849.0,2.0,0.0,10.0,16.0
2017-03-06 11:00:00,2333.0,1.0,0.0,10.0,18.0
2017-03-07 12:00:00,1320.0,1.0,0.0,10.0,18.0
2017-03-07 13:00:00,1180.0,1.0,0.0,10.0,18.0
2017-03-07 15:00:00,1177.0,2.0,0.0,10.0,18.0
2017-03-07 16:00:00,2255.0,3.0,0.0,10.0,18.0
2017-03-08 13:00:00,477.0,1.0,0.0,10.0,18.0
2017-03-08 14:00:00,1275.0,1.0,0.0,10.0,18.0
2017-03-08 17:00:00,1070.0,2.0,0.0,10.0,18.0
2017-03-09 13:00:00,0.0,1.0,0.0,10.0,18.0
2017-03-09 15:00:00,1360.0,2.0,0.0,10.0,18.0
2017-03-09 16:00:00,1473.0,2.0,0.0,10.0,18.0
2017-03-10 13:00:00,1923.0,2.0,0.0,10.0,18.0
2017-03-10 14:00:00,3203.0,3.0,0.0,10.0,18.0
2017-03-10 15:00:00,3913.0,3.0,0.0,10.0,18.0
2017-03-10 16:00:00,4297.0,3.0,0.0,10.0,18.0
2017-03-10 17:00:00,4816.0,2.0,0.0,10.0,18.0
2017-03-11 10:00:00,6794.0,9.0,0.0,10.0,16.0
2017-03-11 11:00:00,4512.0,4.0,0.0,10.0,16.0
2017-03-11 12:00:00,5018.0,10.0,0.0,10.0,16.0
2017-03-11 13:00:00,4952.0,6.0,0.0,10.0,16.0
2017-03-11 14:00:00,2625.0,3.0,0.0,10.0,16.0
2017-03-11 15:00:00,136.0,2.0,0.0,10.0,16.0
2017-03-13 10:00:00,2676.0,2.0,0.0,10.0,18.0
2017-03-13 12:00:00,3472.0,1.0,0.0,10.0,18.0
2017-03-13 14:00:00,1091.0,2.0,0.0,10.0,18.0
2017-03-13 15:00:00,2863.0,3.0,0.0,10.0,18.0
2017-03-13 16:00:00,1404.0,1.0,0.0,10.0,18.0
2017-03-14 10:00:00,1508.0,2.0,0.0,10.0,18.0
2017-03-14 11:00:00,2328.0,2.0,0.0,10.0,18.0
2017-03-14 12:00:00,1539.0,1.0,0.0,10.0,18.0
2017-03-14 14:00:00,813.0,2.0,0.0,10.0,18.0
2017-03-14 15:00:00,1112.0,1.0,0.0,10.0,18.0
2017-03-14 16:00:00,1533.0,2.0,0.0,10.0,18.0
2017-03-15 10:00:00,1649.0,2.0,0.0,10.0,18.0
2017-03-15 12:00:00,1296.0,1.0,0.0,10.0,18.0
2017-03-15 16:00:00,587.0,2.0,0.0,10.0,18.0
2017-03-15 17:00:00,1834.0,1.0,0.0,10.0,18.0
2017-03-16 11:00:00,1489.0,2.0,0.0,10.0,18.0
2017-03-16 12:00:00,1718.0,3.0,0.0,10.0,18.0
2017-03-16 13:00:00,966.0,1.0,0.0,10.0,18.0
2017-03-16 14:00:00,1749.0,2.0,0.0,10.0,18.0
2017-03-16 17:00:00,2331.0,3.0,0.0,10.0,18.0
2017-03-17 10:00:00,1619.0,2.0,0.0,10.0,18.0
2017-03-17 12:00:00,919.0,3.0,0.0,10.0,18.0
2017-03-17 13:00:00,2334.0,2.0,0.0,10.0,18.0
2017-03-17 16:00:00,1512.0,2.0,0.0,10.0,18.0
2017-03-18 10:00:00,1027.0,1.0,0.0,10.0,16.0
2017-03-18 11:00:00,641.0,2.0,0.0,10.0,16.0
2017-03-18 12:00:00,2797.0,1.0,0.0,10.0,16.0
2017-03-18 13:00:00,1084.0,1.0,0.0,10.0,16.0
2017-03-18 15:00:00,3456.0,4.0,0.0,10.0,16.0
2017-03-20 10:00:00,1619.0,2.0,0.0,10.0,18.0
2017-03-20 11:00:00,1242.0,2.0,0.0,10.0,18.0
2017-03-20 12:00:00,4717.0,4.0,0.0,10.0,18.0
2017-03-20 13:00:00,2168.0,1.0,0.0,10.0,18.0
2017-03-20 14:00:00,2373.0,3.0,0.0,10.0,18.0
2017-03-20 15:00:00,2353.0,3.0,0.0,10.0,18.0
2017-03-20 17:00:00,3895.0,3.0,0.0,10.0,18.0
2017-03-21 14:00:00,2010.0,2.0,0.0,10.0,18.0
2017-03-21 15:00:00,1437.0,1.0,0.0,10.0,18.0
2017-03-21 17:00:00,1168.0,1.0,0.0,10.0,18.0
2017-03-22 11:00:00,1350.0,2.0,0.0,10.0,18.0
2017-03-22 12:00:00,2353.0,3.0,0.0,10.0,18.0
2017-03-22 15:00:00,4479.0,4.0,0.0,10.0,18.0
2017-03-23 11:00:00,2507.0,6.0,0.0,10.0,18.0
2017-03-23 13:00:00,325.0,1.0,0.0,10.0,18.0
2017-03-23 14:00:00,2489.0,3.0,0.0,10.0,18.0
2017-03-23 15:00:00,1907.0,2.0,0.0,10.0,18.0
2017-03-23 18:00:00,3670.0,1.0,0.0,10.0,18.0
2017-03-24 11:00:00,3400.0,2.0,0.0,10.0,18.0
2017-03-24 12:00:00,2167.0,3.0,0.0,10.0,18.0
2017-03-24 13:00:00,2906.0,2.0,0.0,10.0,18.0
2017-03-24 15:00:00,4307.0,3.0,0.0,10.0,18.0
2017-03-24 16:00:00,2292.0,3.0,0.0,10.0,18.0
2017-03-25 10:00:00,6091.0,9.0,0.0,10.0,16.0
2017-03-25 11:00:00,10693.0,4.0,0.0,10.0,16.0
2017-03-25 12:00:00,11988.0,17.0,0.0,10.0,16.0
2017-03-25 13:00:00,11095.0,9.0,0.0,10.0,16.0
2017-03-25 14:00:00,5956.0,8.0,0.0,10.0,16.0
2017-03-25 15:00:00,8934.0,8.0,0.0,10.0,16.0
2017-03-27 10:00:00,1947.0,1.0,0.0,10.0,18.0
2017-03-27 11:00:00,3031.0,4.0,0.0,10.0,18.0
2017-03-27 12:00:00,1751.0,1.0,0.0,10.0,18.0
2017-03-27 13:00:00,8939.0,5.0,0.0,10.0,18.0
2017-03-27 14:00:00,2730.0,2.0,0.0,10.0,18.0
2017-03-27 15:00:00,2255.0,1.0,0.0,10.0,18.0
2017-03-27 16:00:00,4297.0,5.0,0.0,10.0,18.0
2017-03-27 17:00:00,7458.0,4.0,0.0,10.0,18.0
2017-03-28 11:00:00,5436.0,4.0,0.0,10.0,18.0
2017-03-28 12:00:00,2043.0,1.0,0.0,10.0,18.0
2017-03-28 13:00:00,4900.0,5.0,0.0,10.0,18.0
2017-03-28 14:00:00,2639.0,2.0,0.0,10.0,18.0
2017-03-28 15:00:00,971.0,1.0,0.0,10.0,18.0
2017-03-28 16:00:00,3977.0,3.0,0.0,10.0,18.0
2017-03-29 10:00:00,3720.0,4.0,0.0,10.0,18.0
2017-03-29 11:00:00,1797.0,2.0,0.0,10.0,18.0
2017-03-29 13:00:00,3414.0,4.0,0.0,10.0,18.0
2017-03-29 14:00:00,1652.0,2.0,0.0,10.0,18.0
2017-03-29 15:00:00,2012.0,2.0,0.0,10.0,18.0
2017-03-29 16:00:00,1036.0,1.0,0.0,10.0,18.0
2017-03-29 17:00:00,1547.0,1.0,0.0,10.0,18.0
2017-03-30 11:00:00,5042.0,2.0,0.0,10.0,18.0
2017-03-30 15:00:00,1100.0,1.0,0.0,10.0,18.0
2017-03-30 16:00:00,2921.0,2.0,0.0,10.0,18.0
2017-03-30 17:00:00,2664.0,3.0,0.0,10.0,18.0
2017-03-31 10:00:00,1726.0,2.0,0.0,10.0,18.0
2017-03-31 11:00:00,667.0,1.0,0.0,10.0,18.0
2017-03-31 12:00:00,1422.0,4.0,0.0,10.0,18.0
2017-03-31 13:00:00,3855.0,2.0,0.0,10.0,18.0
2017-03-31 14:00:00,9211.0,4.0,0.0,10.0,18.0
2017-03-31 15:00:00,3481.0,2.0,0.0,10.0,18.0
2017-03-31 17:00:00,2109.0,2.0,0.0,10.0,18.0
2017-04-01 10:00:00,2903.0,2.0,0.0,10.0,16.0
2017-04-01 11:00:00,5773.0,3.0,0.0,10.0,16.0
2017-04-01 12:00:00,10148.0,7.0,0.0,10.0,16.0
2017-04-01 13:00:00,6795.0,10.0,0.0,10.0,16.0
2017-04-01 14:00:00,6408.0,3.0,0.0,10.0,16.0
2017-04-01 15:00:00,5324.0,4.0,0.0,10.0,16.0
2017-04-01 16:00:00,1468.0,2.0,0.0,10.0,16.0
2017-04-03 11:00:00,4501.0,3.0,0.0,10.0,18.0
2017-04-03 12:00:00,4159.0,2.0,0.0,10.0,18.0
2017-04-03 13:00:00,1992.0,4.0,0.0,10.0,18.0
2017-04-03 14:00:00,896.0,2.0,0.0,10.0,18.0
